IREWE ,OSOLU SEC. SCH. IREWE ,OSOLU SEC. SCH. IREWE 
,,
TAFFI ,SALVATION ARMY PRY. SCH. OLOMOTMETA ,SALVATION ARMY PRY. SCH. OLOMOTMETA 
,,
ETGBIN ,L.A PRY. SCH.ETEGBIN ,L.A PRY. SCH.ETEGBIN 
,,
IDOLUWO ,ST. MARY PRY. SCH. IDOLUWO ,ST. MARY PRY. SCH. IDOLUWO 
,,
SABO-ONIBA ,SABO ONIBA PRY. SCH. ,SABO ONIBA PRY. SCH. 
,,
OSHODI-BOLADE ,OWOSENI PRY. SCH. ,OWOSENI PRY. SCH. 
,,
ORILE OSHODI ,WESLEY PRY. SCH. ,WESLEY PRY. SCH. 
,,
ISOLO ,A.U.D. PRY. SCH. ,A.U.D. PRY. SCH. 
,,
AJAO ESTATE ,AJAO ESTATE PRY. SCH. ,AJAO ESTATE PRY. SCH. 
,,
ILASAMAJA ,KUSORU PRY. SCH. ,KUSORU PRY. SCH. 
,,
MAFOLUKU ,ST. PAUL PRY. SCH. ,ST. PAUL PRY. SCH. 
,,
SHOGUNLE ,AGO-OWU PRY. SCH. ,AGO-OWU PRY. SCH. 
,,
SHOGUNLE ALASIA ,EWU PRY. SCH. ,EWU PRY. SCH. 
,,
OKOTA ,AJUMONI GRAMMAR SCH. ,AJUMONI GRAMMAR SCH. 
,,
ISHAGATEDO ,MEPTROPOLITAN CELLEGE ,MEPTROPOLITAN CELLEGE 
,,
OKE-AFA/OJIGBO ,EJIGBO HIGH SCH. ,EJIGBO HIGH SCH. 
,,
ONIPANU ,AGNUBAIDE PRY. SCH. ,AGNUBAIDE PRY. SCH. 
,,
PAMGROVE ,WRIGHT MEM. PRY. SCH. ,WRIGHT MEM. PRY. SCH. 
,,
ALASE ,ODUNLADE PRY. SCH. ,ODUNLADE PRY. SCH. 
,,
BAJULAIYE ,OKE META PRY. SCH. ,OKE META PRY. SCH. 
,,
MAFOLUKU PEDRO ,MAHARUF-DEEN PRY. SCH. ,MAHARUF-DEEN PRY. SCH. 
,,
LAD-LAK ,LAD-LAK PRY. SCH. ,LAD-LAK PRY. SCH. 
,,
ILAJE AKOKA ,IDOWU PRY. SCH. ,IDOWU PRY. SCH. 
,,
IGBOBI FADEYI ,IGBOB I JNR HIGH SCH. ,IGBOB I JNR HIGH SCH. 
,,
FOLA AGORO ,MODUPE PRY SCH. ,MODUPE PRY SCH. 
,,
GBAGADA PHASE 1 ,SAVIOUR PRY. SCH. ,SAVIOUR PRY. SCH. 
,,
GBAGADA PHASE 11 ,GBAGADA PRY. SCH. ,GBAGADA PRY. SCH. 
,,
ABULE OKUTA ,EVA ADELAJA SCH. ,EVA ADELAJA SCH. 
,,
ORILE ,CENTRAL PRY. SCH. ,CENTRAL PRY. SCH. 
,,
AGUDA ,ENITAN PRY. SCH.AGUDA ,ENITAN PRY. SCH.AGUDA 
,,
IJESHATEDO ,SANYA GRAMMAR SCH. IJESHATEDO ,SANYA GRAMMAR SCH. IJESHATEDO 
,,
AKINHANMI/COLE ,LAGOS ANG. GIRLS SCH. AKINHANMI ,LAGOS ANG. GIRLS SCH. AKINHANMI 
,,
YABA/OJUELEGBA ,NATHAN PRY. SCH. YABA ,NATHAN PRY. SCH. YABA 
,,
IGBAJA/ STADIUM ,STADIUM HIGH SCH. SURULERE ,STADIUM HIGH SCH. SURULERE 
,,
SHTTA/OGUNLANA DRIVE ,ANSAR-UD-DEEN GRAM. SCH. ,ANSAR-UD-DEEN GRAM. SCH. 
,,
ADENIRAN/ OGUNSANYA ,PROGRESSIVE PRY. SCH. ,PROGRESSIVE PRY. SCH. 
,,
IPONRI HOUSING ESTATE/ERIC MOORE ,ERIC MOORE HIGH SCH. ,ERIC MOORE HIGH SCH. 
,,
COKER ,COKER PRY. SCH. ,COKER PRY. SCH. 
,,
ITIRE ,ERINOSHO PRY. SCH. ,ERINOSHO PRY. SCH. 
,,
IKATE ,AKANJI PRY. SCH. ,AKANJI PRY. SCH. 
,,
